MM/DD/YYYY,ID,YEAR,MONTH,DAY,TOBS,TOBS_FLAGS,SNWD,SNWD_FLAGS,MDPR,MDPR_FLAGS,WT01,WT01_FLAGS,TMIN,TMIN_FLAGS,DAPR,DAPR_FLAGS,SNOW,SNOW_FLAGS,PRCP,PRCP_FLAGS,TMAX,TMAX_FLAGS,WT03,WT03_FLAGS
1959-03-14,USC00047767,1959,03,14,122.0,__0,0.0,__0,nan,nan,nan,nan,44.0,__0,nan,nan,0.0,__0,0.0,__0,150.0,__0,nan,nan
1959-03-15,USC00047767,1959,03,15,167.0,__0,0.0,__0,nan,nan,nan,nan,61.0,__0,nan,nan,0.0,__0,0.0,__0,217.0,__0,nan,nan
1959-03-16,USC00047767,1959,03,16,194.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,239.0,__0,nan,nan
1959-03-17,USC00047767,1959,03,17,128.0,__0,0.0,__0,nan,nan,nan,nan,106.0,__0,nan,nan,0.0,__0,0.0,__0,200.0,__0,nan,nan
1959-03-18,USC00047767,1959,03,18,128.0,__0,0.0,__0,nan,nan,nan,nan,83.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1959-03-19,USC00047767,1959,03,19,128.0,__0,0.0,__0,nan,nan,nan,nan,83.0,__0,nan,nan,0.0,__0,0.0,__0,128.0,__0,nan,nan
1959-03-20,USC00047767,1959,03,20,128.0,__0,0.0,__0,nan,nan,nan,nan,61.0,__0,nan,nan,0.0,__0,0.0,__0,150.0,__0,nan,nan
1959-03-21,USC00047767,1959,03,21,128.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,0.0,__0,161.0,__0,nan,nan
1959-03-22,USC00047767,1959,03,22,128.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,13.0,__0,128.0,__0,nan,nan
1959-03-23,USC00047767,1959,03,23,122.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,13.0,__0,150.0,__0,nan,nan
1959-03-24,USC00047767,1959,03,24,111.0,__0,0.0,__0,nan,nan,nan,nan,117.0,__0,nan,nan,0.0,__0,0.0,__0,139.0,__0,nan,nan
1959-03-25,USC00047767,1959,03,25,111.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,15.0,__0,133.0,__0,nan,nan
1959-03-26,USC00047767,1959,03,26,122.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,133.0,__0,nan,nan
